country,region,rank,score,happiness_level,gdp,year,code,year,life_expectency
Australia,Australia and New Zealand,11.0,7.228,6,1.372,2019,AUS,2019,83.436
Australia,Australia and New Zealand,10.0,7.272,6,1.34,2018,AUS,2018,83.281
Australia,Australia and New Zealand,10.0,7.28399991989136,6,1.484414935112,2017,AUS,2017,83.122
Australia,Australia and New Zealand,10.0,7.284,6,1.33358,2015,AUS,2015,82.794
Australia,Australia and New Zealand,9.0,7.313,6,1.44443,2016,AUS,2016,82.959
New Zealand,Australia and New Zealand,9.0,7.286,6,1.25018,2015,NZL,2015,81.713
New Zealand,Australia and New Zealand,8.0,7.307,6,1.303,2019,NZL,2019,82.288
New Zealand,Australia and New Zealand,8.0,7.31400012969971,6,1.40570604801178,2017,NZL,2017,82.002
New Zealand,Australia and New Zealand,8.0,7.324,6,1.268,2018,NZL,2018,82.145
New Zealand,Australia and New Zealand,8.0,7.334,6,1.36066,2016,NZL,2016,81.859
Albania,Central and Eastern Europe,112.0,4.586,3,0.916,2018,ALB,2018,78.458
Albania,Central and Eastern Europe,109.0,4.64400005340576,3,0.996192753314972,2017,ALB,2017,78.333
Albania,Central and Eastern Europe,109.0,4.655,3,0.9553,2016,ALB,2016,78.194
Albania,Central and Eastern Europe,107.0,4.719,3,0.947,2019,ALB,2019,78.573
Albania,Central and Eastern Europe,95.0,4.959,3,0.87867,2015,ALB,2015,78.025
Armenia,Central and Eastern Europe,129.0,4.321,3,0.816,2018,ARG,2018,76.52
Armenia,Central and Eastern Europe,127.0,4.35,3,0.76821,2015,ARG,2015,76.068
Armenia,Central and Eastern Europe,121.0,4.36,3,0.86086,2016,ARG,2016,76.221
Armenia,Central and Eastern Europe,121.0,4.37599992752075,3,0.900596737861633,2017,ARG,2017,76.372
Armenia,Central and Eastern Europe,116.0,4.559,3,0.85,2019,ARG,2019,76.667
Azerbaijan,Central and Eastern Europe,87.0,5.201,4,1.024,2018,AZE,2018,72.864
Azerbaijan,Central and Eastern Europe,90.0,5.208,4,1.043,2019,AZE,2019,73.005
Azerbaijan,Central and Eastern Europe,80.0,5.212,4,1.02389,2015,AZE,2015,72.266
Azerbaijan,Central and Eastern Europe,85.0,5.234000205993650,4,1.15360176563263,2017,AZE,2017,72.693
Azerbaijan,Central and Eastern Europe,81.0,5.291,4,1.12373,2016,AZE,2016,72.493
Belarus,Central and Eastern Europe,81.0,5.323,4,1.067,2019,BHR,2019,77.292
Belarus,Central and Eastern Europe,73.0,5.483,4,1.039,2018,BHR,2018,77.163
Belarus,Central and Eastern Europe,67.0,5.56899976730347,4,1.15655755996704,2017,BHR,2017,77.032
Belarus,Central and Eastern Europe,61.0,5.802,4,1.13062,2016,BHR,2016,76.899
Belarus,Central and Eastern Europe,59.0,5.813,4,1.03192,2015,BHR,2015,76.762
Bosnia and Herzegovina,Central and Eastern Europe,96.0,4.949,3,0.83223,2015,BIH,2015,76.865
Bosnia and Herzegovina,Central and Eastern Europe,93.0,5.129,4,0.915,2018,BIH,2018,77.262
Bosnia and Herzegovina,Central and Eastern Europe,87.0,5.163,4,0.93383,2016,BIH,2016,76.998
Bosnia and Herzegovina,Central and Eastern Europe,90.0,5.18200016021729,4,0.982409417629242,2017,BIH,2017,77.128
Bosnia and Herzegovina,Central and Eastern Europe,78.0,5.386,4,0.945,2019,BIH,2019,77.401
Bulgaria,Central and Eastern Europe,129.0,4.217,3,1.11306,2016,BGR,2016,74.703
Bulgaria,Central and Eastern Europe,134.0,4.218,3,1.01216,2015,BGR,2015,74.584
Bulgaria,Central and Eastern Europe,105.0,4.71400022506714,3,1.1614590883255,2017,BGR,2017,74.815
Bulgaria,Central and Eastern Europe,100.0,4.933,3,1.054,2018,BGR,2018,74.928
Bulgaria,Central and Eastern Europe,97.0,5.011,4,1.092,2019,BGR,2019,75.046
Croatia,Central and Eastern Europe,77.0,5.29300022125244,4,1.22255623340607,2017,CRI,2017,79.914
Croatia,Central and Eastern Europe,82.0,5.321,4,1.115,2018,CRI,2018,80.095
Croatia,Central and Eastern Europe,75.0,5.432,4,1.155,2019,CRI,2019,80.279
Croatia,Central and Eastern Europe,74.0,5.488,4,1.18649,2016,CRI,2016,79.738
Croatia,Central and Eastern Europe,62.0,5.759,4,1.08254,2015,CRI,2015,79.565
Czech Republic,Central and Eastern Europe,31.0,6.505,5,1.17898,2015,CZE,2015,78.692
Czech Republic,Central and Eastern Europe,27.0,6.596,5,1.30915,2016,CZE,2016,78.881
Czech Republic,Central and Eastern Europe,23.0,6.60900020599365,5,1.35268235206604,2017,CZE,2017,79.058
Czech Republic,Central and Eastern Europe,21.0,6.711,5,1.233,2018,CZE,2018,79.222
Czech Republic,Central and Eastern Europe,20.0,6.852,5,1.269,2019,CZE,2019,79.376
Estonia,Central and Eastern Europe,73.0,5.429,4,1.15174,2015,ECU,2015,76.143
Estonia,Central and Eastern Europe,72.0,5.517,4,1.27964,2016,ECU,2016,76.365
Estonia,Central and Eastern Europe,66.0,5.61100006103516,4,1.32087934017181,2017,ECU,2017,76.584
Estonia,Central and Eastern Europe,63.0,5.739,4,1.2,2018,ECU,2018,76.8
Estonia,Central and Eastern Europe,55.0,5.893,4,1.237,2019,ECU,2019,77.01
Georgia,Central and Eastern Europe,126.0,4.252,3,0.83792,2016,GEO,2016,73.207
Georgia,Central and Eastern Europe,125.0,4.28599977493286,3,0.950612664222717,2017,GEO,2017,73.414
Georgia,Central and Eastern Europe,130.0,4.297,3,0.7419,2015,GEO,2015,72.973
Georgia,Central and Eastern Europe,128.0,4.34,3,0.853,2018,GEO,2018,73.6
Georgia,Central and Eastern Europe,119.0,4.519,3,0.886,2019,GEO,2019,73.767
Hungary,Central and Eastern Europe,104.0,4.8,3,1.12094,2015,HUN,2015,76.006
Hungary,Central and Eastern Europe,91.0,5.145,4,1.24142,2016,HUN,2016,76.266
Hungary,Central and Eastern Europe,75.0,5.32399988174438,4,1.2860119342804,2017,HUN,2017,76.498
Hungary,Central and Eastern Europe,69.0,5.62,4,1.171,2018,HUN,2018,76.701
Hungary,Central and Eastern Europe,62.0,5.758,4,1.201,2019,HUN,2019,76.875
Kazakhstan,Central and Eastern Europe,60.0,5.79,4,1.143,2018,KAZ,2018,73.236
Kazakhstan,Central and Eastern Europe,60.0,5.809,4,1.173,2019,KAZ,2019,73.597
Kazakhstan,Central and Eastern Europe,60.0,5.81899976730347,4,1.28455626964569,2017,KAZ,2017,72.728
Kazakhstan,Central and Eastern Europe,54.0,5.855,4,1.12254,2015,KAZ,2015,71.319
Kazakhstan,Central and Eastern Europe,54.0,5.919,4,1.22943,2016,KAZ,2016,72.081
Kosovo,Central and Eastern Europe,78.0,5.27899980545044,4,0.951484382152557,2017,,,
Kosovo,Central and Eastern Europe,77.0,5.401,4,0.90145,2016,,,
Kosovo,Central and Eastern Europe,69.0,5.589,4,0.80148,2015,,,
Kosovo,Central and Eastern Europe,66.0,5.662,4,0.855,2018,,,
Kosovo,Central and Eastern Europe,46.0,6.1,5,0.882,2019,,,
Kyrgyzstan,Central and Eastern Europe,98.0,5.00400018692017,4,0.596220076084137,2017,KGZ,2017,71.193
Kyrgyzstan,Central and Eastern Europe,92.0,5.131,4,0.53,2018,KGZ,2018,71.321
Kyrgyzstan,Central and Eastern Europe,85.0,5.185,4,0.56044,2016,KGZ,2016,71.054
Kyrgyzstan,Central and Eastern Europe,86.0,5.261,4,0.551,2019,KGZ,2019,71.45
Kyrgyzstan,Central and Eastern Europe,77.0,5.286,4,0.47428,2015,KGZ,2015,70.876
Latvia,Central and Eastern Europe,89.0,5.098,4,1.11312,2015,LVA,2015,74.733
Latvia,Central and Eastern Europe,68.0,5.56,4,1.21788,2016,LVA,2016,74.91
Latvia,Central and Eastern Europe,54.0,5.849999904632570,4,1.26074862480164,2017,LVA,2017,75.048
Latvia,Central and Eastern Europe,53.0,5.933,4,1.148,2018,LVA,2018,75.172
Latvia,Central and Eastern Europe,53.0,5.94,4,1.187,2019,LVA,2019,75.292
Lithuania,Central and Eastern Europe,60.0,5.813,4,1.2692,2016,LTU,2016,75.238
Lithuania,Central and Eastern Europe,56.0,5.833,4,1.14723,2015,LTU,2015,74.923
Lithuania,Central and Eastern Europe,52.0,5.90199995040894,4,1.31458234786987,2017,LTU,2017,75.507
Lithuania,Central and Eastern Europe,50.0,5.952,4,1.197,2018,LTU,2018,75.737
Lithuania,Central and Eastern Europe,42.0,6.149,5,1.238,2019,LTU,2019,75.933
Macedonia,Central and Eastern Europe,93.0,5.007,4,0.91851,2015,MKD,2015,75.406
Macedonia,Central and Eastern Europe,95.0,5.121,4,1.0193,2016,MKD,2016,75.498
Macedonia,Central and Eastern Europe,92.0,5.175000190734860,4,1.06457793712616,2017,MKD,2017,75.589
Macedonia,Central and Eastern Europe,89.0,5.185,4,0.959,2018,MKD,2018,75.688
Macedonia,Central and Eastern Europe,89.0,5.185,4,0.959,2019,MKD,2019,75.797
Moldova,Central and Eastern Europe,71.0,5.529,4,0.685,2019,MEX,2019,75.054
Moldova,Central and Eastern Europe,67.0,5.64,4,0.657,2018,MEX,2018,74.992
Moldova,Central and Eastern Europe,56.0,5.837999820709230,4,0.728870630264282,2017,MEX,2017,74.947
Moldova,Central and Eastern Europe,52.0,5.889,4,0.59448,2015,MEX,2015,74.904
Moldova,Central and Eastern Europe,55.0,5.897,4,0.69177,2016,MEX,2016,74.917
Montenegro,Central and Eastern Europe,88.0,5.161,4,1.07838,2016,MNE,2016,76.568
Montenegro,Central and Eastern Europe,82.0,5.192,4,0.97438,2015,MNE,2015,76.452
Montenegro,Central and Eastern Europe,83.0,5.23699998855591,4,1.12112903594971,2017,MNE,2017,76.667
Montenegro,Central and Eastern Europe,81.0,5.347,4,1.017,2018,MNE,2018,76.77
Montenegro,Central and Eastern Europe,73.0,5.523,4,1.051,2019,MNE,2019,76.884
Poland,Central and Eastern Europe,60.0,5.791,4,1.12555,2015,POL,2015,77.859
Poland,Central and Eastern Europe,57.0,5.835,4,1.24585,2016,POL,2016,78.11
Poland,Central and Eastern Europe,46.0,5.97300004959106,4,1.29178786277771,2017,POL,2017,78.338
Poland,Central and Eastern Europe,42.0,6.123,5,1.176,2018,POL,2018,78.544
Poland,Central and Eastern Europe,40.0,6.182,5,1.206,2019,POL,2019,78.73
Romania,Central and Eastern Europe,86.0,5.124,4,1.04345,2015,ROU,2015,75.476
Romania,Central and Eastern Europe,71.0,5.528,4,1.1697,2016,ROU,2016,75.644
Romania,Central and Eastern Europe,57.0,5.824999809265140,4,1.21768391132355,2017,ROU,2017,75.79
Romania,Central and Eastern Europe,52.0,5.945,4,1.116,2018,ROU,2018,75.924
Romania,Central and Eastern Europe,48.0,6.07,5,1.162,2019,ROU,2019,76.054
Russia,Central and Eastern Europe,68.0,5.648,4,1.183,2019,RUS,2019,72.584
Russia,Central and Eastern Europe,64.0,5.716,4,1.13764,2015,RUS,2015,71.464
Russia,Central and Eastern Europe,59.0,5.81,4,1.151,2018,RUS,2018,72.386
Russia,Central and Eastern Europe,56.0,5.856,4,1.23228,2016,RUS,2016,71.835
Russia,Central and Eastern Europe,49.0,5.962999820709230,4,1.28177809715271,2017,RUS,2017,72.139
Serbia,Central and Eastern Europe,87.0,5.123,4,0.92053,2015,SRB,2015,75.309
Serbia,Central and Eastern Europe,86.0,5.177,4,1.03437,2016,SRB,2016,75.505
Serbia,Central and Eastern Europe,73.0,5.39499998092651,4,1.06931757926941,2017,SRB,2017,75.684
Serbia,Central and Eastern Europe,78.0,5.398,4,0.975,2018,SRB,2018,75.849
Serbia,Central and Eastern Europe,70.0,5.603,4,1.004,2019,SRB,2019,76.001
Slovakia,Central and Eastern Europe,45.0,5.995,4,1.16891,2015,SVK,2015,76.827
Slovakia,Central and Eastern Europe,45.0,6.078,5,1.27973,2016,SVK,2016,77.034
Slovakia,Central and Eastern Europe,40.0,6.09800004959106,5,1.32539355754852,2017,SVK,2017,77.219
Slovakia,Central and Eastern Europe,39.0,6.173,5,1.21,2018,SVK,2018,77.388
Slovakia,Central and Eastern Europe,38.0,6.198,5,1.246,2019,SVK,2019,77.542
Slovenia,Central and Eastern Europe,62.0,5.75799989700317,4,1.3412059545517,2017,SVN,2017,81.016
Slovenia,Central and Eastern Europe,63.0,5.768,4,1.29947,2016,SVN,2016,80.852
Slovenia,Central and Eastern Europe,55.0,5.848,4,1.18498,2015,SVN,2015,80.673
Slovenia,Central and Eastern Europe,51.0,5.948,4,1.219,2018,SVN,2018,81.172
Slovenia,Central and Eastern Europe,44.0,6.118,5,1.258,2019,SVN,2019,81.324
Tajikistan,Central and Eastern Europe,106.0,4.786,3,0.39047,2015,TJK,2015,70.137
Tajikistan,Central and Eastern Europe,100.0,4.996,3,0.48835,2016,TJK,2016,70.397
Tajikistan,Central and Eastern Europe,96.0,5.04099988937378,4,0.524713635444641,2017,TJK,2017,70.647
Tajikistan,Central and Eastern Europe,88.0,5.199,4,0.474,2018,TJK,2018,70.879
Tajikistan,Central and Eastern Europe,74.0,5.467,4,0.493,2019,TJK,2019,71.097
Turkmenistan,Central and Eastern Europe,87.0,5.247,4,1.052,2019,TKM,2019,68.191
Turkmenistan,Central and Eastern Europe,70.0,5.548,4,0.95847,2015,TKM,2015,67.704
Turkmenistan,Central and Eastern Europe,68.0,5.636,4,1.016,2018,TKM,2018,68.073
Turkmenistan,Central and Eastern Europe,65.0,5.658,4,1.08017,2016,TKM,2016,67.835
Turkmenistan,Central and Eastern Europe,59.0,5.82200002670288,4,1.13077676296234,2017,TKM,2017,67.956
Ukraine,Central and Eastern Europe,132.0,4.09600019454956,3,0.89465194940567,2017,UKR,2017,71.84
Ukraine,Central and Eastern Europe,138.0,4.103,3,0.793,2018,UKR,2018,71.953
Ukraine,Central and Eastern Europe,123.0,4.324,3,0.87287,2016,UKR,2016,71.711
Ukraine,Central and Eastern Europe,133.0,4.332,3,0.82,2019,UKR,2019,72.065
Ukraine,Central and Eastern Europe,111.0,4.681,3,0.79907,2015,UKR,2015,71.535
Uzbekistan,Central and Eastern Europe,47.0,5.97100019454956,4,0.786441087722778,2017,UZB,2017,71.388
Uzbekistan,Central and Eastern Europe,49.0,5.987,4,0.73591,2016,UZB,2016,71.171
Uzbekistan,Central and Eastern Europe,44.0,6.003,5,0.63244,2015,UZB,2015,70.928
Uzbekistan,Central and Eastern Europe,44.0,6.096,5,0.719,2018,UZB,2018,71.573
Uzbekistan,Central and Eastern Europe,41.0,6.174,5,0.745,2019,UZB,2019,71.725
China,Eastern Asia,84.0,5.14,4,0.89012,2015,CHN,2015,75.928
China,Eastern Asia,93.0,5.191,4,1.029,2019,CHN,2019,76.912
China,Eastern Asia,83.0,5.245,4,1.0278,2016,CHN,2016,76.21
China,Eastern Asia,86.0,5.246,4,0.989,2018,CHN,2018,76.704
China,Eastern Asia,79.0,5.2729997634887700,4,1.08116579055786,2017,CHN,2017,76.47
Hong Kong,Eastern Asia,76.0,5.43,4,1.405,2018,HKG,2018,84.687
Hong Kong,Eastern Asia,76.0,5.43,4,1.438,2019,HKG,2019,84.857
Hong Kong,Eastern Asia,75.0,5.458,4,1.5107,2016,HKG,2016,84.277
Hong Kong,Eastern Asia,75.0,5.458,4,1.5107,2017,HKG,2017,84.493
Hong Kong,Eastern Asia,72.0,5.474,4,1.38604,2015,HKG,2015,84.043
Japan,Eastern Asia,58.0,5.886,4,1.327,2019,JPN,2019,84.629
Japan,Eastern Asia,54.0,5.915,4,1.294,2018,JPN,2018,84.47
Japan,Eastern Asia,51.0,5.92000007629395,4,1.41691517829895,2017,JPN,2017,84.29
Japan,Eastern Asia,53.0,5.921,4,1.38007,2016,JPN,2016,84.09
Japan,Eastern Asia,46.0,5.987,4,1.27074,2015,JPN,2015,83.879
Mongolia,Eastern Asia,100.0,4.874,3,0.82819,2015,MNG,2015,69.111
Mongolia,Eastern Asia,101.0,4.907,3,0.98853,2016,MNG,2016,69.321
Mongolia,Eastern Asia,100.0,4.95499992370605,3,1.02723586559296,2017,MNG,2017,69.509
Mongolia,Eastern Asia,94.0,5.125,4,0.914,2018,MNG,2018,69.689
Mongolia,Eastern Asia,83.0,5.285,4,0.948,2019,MNG,2019,69.87
South Korea,Eastern Asia,57.0,5.835,4,1.35948,2016,KOR,2016,82.379
South Korea,Eastern Asia,55.0,5.837999820709230,4,1.40167844295502,2017,KOR,2017,82.628
South Korea,Eastern Asia,57.0,5.875,4,1.266,2018,KOR,2018,82.846
South Korea,Eastern Asia,54.0,5.895,4,1.301,2019,KOR,2019,83.033
South Korea,Eastern Asia,47.0,5.984,4,1.24461,2015,KOR,2015,82.1
Taiwan(China),Eastern Asia,38.0,6.298,5,1.29098,2015,TWN,2015,79.743
Taiwan(China),Eastern Asia,33.0,6.42199993133545,5,1.43362653255463,2016,TWN,2016,79.927
Taiwan(China),Eastern Asia,28.0,6.422000000000000,5,1.3767633,2017,TWN,2017,80.107
Taiwan(China),Eastern Asia,26.0,6.441,5,1.365,2018,TWN,2018,80.283
Taiwan(China),Eastern Asia,25.0,6.446,5,1.368,2019,TWN,2019,80.456
Argentina,Latin America and Caribbean,47.0,6.086,5,1.092,2019,ARG,2019,76.667
Argentina,Latin America and Caribbean,29.0,6.388,5,1.073,2018,ARG,2018,76.52
Argentina,Latin America and Caribbean,30.0,6.574,5,1.05351,2015,ARG,2015,76.068
Argentina,Latin America and Caribbean,24.0,6.59899997711182,5,1.18529546260834,2017,ARG,2017,76.372
Argentina,Latin America and Caribbean,26.0,6.65,5,1.15137,2016,ARG,2016,76.221
Bolivia,Latin America and Caribbean,62.0,5.752,4,0.751,2018,BOL,2018,71.239
Bolivia,Latin America and Caribbean,61.0,5.779,4,0.776,2019,BOL,2019,71.513
Bolivia,Latin America and Caribbean,59.0,5.822,4,0.79422,2016,BOL,2016,70.626
Bolivia,Latin America and Caribbean,58.0,5.82299995422363,4,0.833756566047668,2017,BOL,2017,70.945
Bolivia,Latin America and Caribbean,51.0,5.89,4,0.68133,2015,BOL,2015,70.277
Brazil,Latin America and Caribbean,32.0,6.3,5,1.004,2019,BRA,2019,75.881
Brazil,Latin America and Caribbean,28.0,6.419,5,0.986,2018,BRA,2018,75.672
Brazil,Latin America and Caribbean,22.0,6.63500022888184,5,1.10735321044922,2017,BRA,2017,75.456
Brazil,Latin America and Caribbean,17.0,6.952,5,1.08754,2016,BRA,2016,75.23
Brazil,Latin America and Caribbean,16.0,6.983,5,0.98124,2015,BRA,2015,74.994
Chile,Latin America and Caribbean,26.0,6.444,5,1.159,2019,CHL,2019,80.181
Chile,Latin America and Caribbean,25.0,6.476,5,1.131,2018,CHL,2018,80.042
Chile,Latin America and Caribbean,20.0,6.65199995040894,5,1.25278460979462,2017,CHL,2017,79.909
Chile,Latin America and Caribbean,27.0,6.67,5,1.10715,2015,CHL,2015,79.646
Chile,Latin America and Caribbean,24.0,6.705,5,1.2167,2016,CHL,2016,79.779
Colombia,Latin America and Caribbean,43.0,6.125,5,0.985,2019,COL,2019,77.287
Colombia,Latin America and Caribbean,37.0,6.26,5,0.96,2018,COL,2018,77.109
Colombia,Latin America and Caribbean,36.0,6.35699987411499,5,1.07062232494354,2017,COL,2017,76.925
Colombia,Latin America and Caribbean,33.0,6.477,5,0.91861,2015,COL,2015,76.531
Colombia,Latin America and Caribbean,31.0,6.481,5,1.03032,2016,COL,2016,76.732
Costa Rica,Latin America and Caribbean,13.0,7.072,6,1.01,2018,CRI,2018,80.095
Costa Rica,Latin America and Caribbean,12.0,7.0789999961853,6,1.10970628261566,2017,CRI,2017,79.914
Costa Rica,Latin America and Caribbean,14.0,7.087,6,1.06879,2016,CRI,2016,79.738
Costa Rica,Latin America and Caribbean,12.0,7.167,6,1.034,2019,CRI,2019,80.279
Costa Rica,Latin America and Caribbean,12.0,7.226,6,0.95578,2015,CRI,2015,79.565
Dominican Republic,Latin America and Caribbean,98.0,4.885,3,0.89537,2015,DOM,2015,73.241
Dominican Republic,Latin America and Caribbean,89.0,5.155,4,1.02787,2016,DOM,2016,73.471
Dominican Republic,Latin America and Caribbean,86.0,5.230000019073490,4,1.07937383651733,2017,DOM,2017,73.689
Dominican Republic,Latin America and Caribbean,83.0,5.302,4,0.982,2018,DOM,2018,73.892
Dominican Republic,Latin America and Caribbean,77.0,5.425,4,1.015,2019,DOM,2019,74.081
Ecuador,Latin America and Caribbean,48.0,5.973,4,0.889,2018,ECU,2018,76.8
Ecuador,Latin America and Caribbean,48.0,5.975,4,0.86402,2015,ECU,2015,76.143
Ecuador,Latin America and Caribbean,51.0,5.976,4,0.97306,2016,ECU,2016,76.365
Ecuador,Latin America and Caribbean,44.0,6.00799989700317,5,1.00082039833069,2017,ECU,2017,76.584
Ecuador,Latin America and Caribbean,50.0,6.028,5,0.912,2019,ECU,2019,77.01
El Salvador,Latin America and Caribbean,45.0,6.002999782562260,5,0.909784495830536,2017,DOM,2017,73.689
El Salvador,Latin America and Caribbean,46.0,6.068,5,0.8737,2016,DOM,2016,73.471
El Salvador,Latin America and Caribbean,42.0,6.13,5,0.76454,2015,DOM,2015,73.241
El Salvador,Latin America and Caribbean,40.0,6.167,5,0.806,2018,DOM,2018,73.892
El Salvador,Latin America and Caribbean,35.0,6.253,5,0.794,2019,DOM,2019,74.081
Guatemala,Latin America and Caribbean,43.0,6.123,5,0.74553,2015,GTM,2015,73.25
Guatemala,Latin America and Caribbean,39.0,6.324,5,0.83454,2016,GTM,2016,73.541
Guatemala,Latin America and Caribbean,30.0,6.382,5,0.781,2018,GTM,2018,74.063
Guatemala,Latin America and Caribbean,27.0,6.436,5,0.8,2019,GTM,2019,74.302
Guatemala,Latin America and Caribbean,29.0,6.4539999961853,5,0.872001945972443,2017,GTM,2017,73.81
Haiti,Latin America and Caribbean,148.0,3.582,2,0.315,2018,HTI,2018,63.66
Haiti,Latin America and Caribbean,147.0,3.597,2,0.323,2019,HTI,2019,64.001
