LOCATION,SUBJECT,TIME,Value
AUS,NOMINAL,2015,100
AUS,NOMINAL,2016,105.500097863188
AUS,NOMINAL,2017,114.308083789289
AUS,NOMINAL,2018,112.663926414083
AUS,NOMINAL,2019,108.083773764124
AUT,NOMINAL,2015,100
AUT,NOMINAL,2016,108.5325
AUT,NOMINAL,2017,114.2588
AUT,NOMINAL,2018,119.64
AUT,NOMINAL,2019,126.59999999694
BEL,NOMINAL,2015,100
BEL,NOMINAL,2016,102.640656934604
BEL,NOMINAL,2017,106.373012009044
BEL,NOMINAL,2018,109.415295958759
BEL,NOMINAL,2019,
CAN,NOMINAL,2015,100
CAN,NOMINAL,2016,109.947920163433
CAN,NOMINAL,2017,123.258970104448
CAN,NOMINAL,2018,128.243000872793
CAN,NOMINAL,2019,129.744012738772
CHE,NOMINAL,2015,100
CHE,NOMINAL,2016,101.619464122459
CHE,NOMINAL,2017,103.58500937241
CHE,NOMINAL,2018,106.721523522332
CHE,NOMINAL,2019,110.556668371492
CHL,NOMINAL,2015,100
CHL,NOMINAL,2016,102.817479115423
CHL,NOMINAL,2017,110.246607316537
CHL,NOMINAL,2018,118.28165119186
CHL,NOMINAL,2019,
CHN,NOMINAL,2015,100
CHN,NOMINAL,2016,112.22947601315
CHN,NOMINAL,2017,126.98929589754
CHN,NOMINAL,2018,134.267929761144
CHN,NOMINAL,2019,139.503123977558
COL,NOMINAL,2015,100
COL,NOMINAL,2016,111.609251561161
COL,NOMINAL,2017,119.330345936933
COL,NOMINAL,2018,127.433569211207
COL,NOMINAL,2019,
CZE,NOMINAL,2015,100
CZE,NOMINAL,2016,107.15
CZE,NOMINAL,2017,119.7
CZE,NOMINAL,2018,129.999999999988
CZE,NOMINAL,2019,
DEU,NOMINAL,2015,100
DEU,NOMINAL,2016,107.52688172043
DEU,NOMINAL,2017,114.10352588147
DEU,NOMINAL,2018,121.680420105026
DEU,NOMINAL,2019,128.082020501903
DNK,NOMINAL,2015,100
DNK,NOMINAL,2016,105.215
DNK,NOMINAL,2017,109.9975
DNK,NOMINAL,2018,114.807500001898
DNK,NOMINAL,2019,
EA,NOMINAL,2015,100
EA,NOMINAL,2016,104.01
EA,NOMINAL,2017,108.5125
EA,NOMINAL,2018,113.654999999341
EA,NOMINAL,2019,
ESP,NOMINAL,2015,100
ESP,NOMINAL,2016,104.622615565389
ESP,NOMINAL,2017,111.105277631941
ESP,NOMINAL,2018,118.580464511855
ESP,NOMINAL,2019,
EST,NOMINAL,2015,100
EST,NOMINAL,2016,104.744560532856
EST,NOMINAL,2017,110.511517933289
EST,NOMINAL,2018,117.06604043378
EST,NOMINAL,2019,125.267580409852
FIN,NOMINAL,2015,100
FIN,NOMINAL,2016,100.442511062777
FIN,NOMINAL,2017,102.012550313758
FIN,NOMINAL,2018,102.885072125768
FIN,NOMINAL,2019,
FRA,NOMINAL,2015,100
FRA,NOMINAL,2016,100.925
FRA,NOMINAL,2017,103.975
FRA,NOMINAL,2018,107.2
FRA,NOMINAL,2019,
GBR,NOMINAL,2015,100
GBR,NOMINAL,2016,106.975069281279
GBR,NOMINAL,2017,111.833779355429
GBR,NOMINAL,2018,115.4270128798
GBR,NOMINAL,2019,116.943882579535
GRC,NOMINAL,2015,100
GRC,NOMINAL,2016,97.5884823129221
GRC,NOMINAL,2017,96.5130754981103
GRC,NOMINAL,2018,98.2905692027992
GRC,NOMINAL,2019,105.665661956375
HUN,NOMINAL,2015,100
HUN,NOMINAL,2016,113.3775
HUN,NOMINAL,2017,127.24
HUN,NOMINAL,2018,145.495000007109
HUN,NOMINAL,2019,
IDN,NOMINAL,2015,100
IDN,NOMINAL,2016,103.159823490474
IDN,NOMINAL,2017,106.415370415962
IDN,NOMINAL,2018,109.894959867191
IDN,NOMINAL,2019,
IND,NOMINAL,2015,100
IND,NOMINAL,2016,106.685743083997
IND,NOMINAL,2017,115.658113782651
IND,NOMINAL,2018,122.248249626232
IND,NOMINAL,2019,
IRL,NOMINAL,2015,100
IRL,NOMINAL,2016,107.459813504663
IRL,NOMINAL,2017,119.174520636984
IRL,NOMINAL,2018,131.349216258597
IRL,NOMINAL,2019,
ISL,NOMINAL,2015,100
ISL,NOMINAL,2016,109.77
ISL,NOMINAL,2017,131.2
ISL,NOMINAL,2018,142.00999999967
ISL,NOMINAL,2019,
ISR,NOMINAL,2015,100
ISR,NOMINAL,2016,107.45838814194
ISR,NOMINAL,2017,111.649054366626
ISR,NOMINAL,2018,110.723842316696
ISR,NOMINAL,2019,112.733003765546
ITA,NOMINAL,2015,100
ITA,NOMINAL,2016,100.25
ITA,NOMINAL,2017,99.175
ITA,NOMINAL,2018,98.6250000013157
ITA,NOMINAL,2019,
JPN,NOMINAL,2015,100
JPN,NOMINAL,2016,102.219431152556
JPN,NOMINAL,2017,104.828375652621
JPN,NOMINAL,2018,106.878487727672
JPN,NOMINAL,2019,108.654350631694
KOR,NOMINAL,2015,100
KOR,NOMINAL,2016,101.621461286609
KOR,NOMINAL,2017,102.853471903371
KOR,NOMINAL,2018,104.275383031526
KOR,NOMINAL,2019,103.968171575199
LTU,NOMINAL,2015,100
LTU,NOMINAL,2016,105.4
LTU,NOMINAL,2017,114.7975
LTU,NOMINAL,2018,123.18
LTU,NOMINAL,2019,131.609999998206
LUX,NOMINAL,2015,100
LUX,NOMINAL,2016,106.005
LUX,NOMINAL,2017,111.9575
LUX,NOMINAL,2018,119.859999999689
LUX,NOMINAL,2019,
LVA,NOMINAL,2015,100
LVA,NOMINAL,2016,108.4875
LVA,NOMINAL,2017,118.0125
LVA,NOMINAL,2018,129.3
LVA,NOMINAL,2019,141.045000006745
MEX,NOMINAL,2015,100
MEX,NOMINAL,2016,107.282318733046
MEX,NOMINAL,2017,115.687671008677
MEX,NOMINAL,2018,125.952065234446
MEX,NOMINAL,2019,136.739604759942
NLD,NOMINAL,2015,100
NLD,NOMINAL,2016,105.0175
NLD,NOMINAL,2017,112.9325
NLD,NOMINAL,2018,123.610000000262
NLD,NOMINAL,2019,
NOR,NOMINAL,2015,100
NOR,NOMINAL,2016,107.025
NOR,NOMINAL,2017,112.35
NOR,NOMINAL,2018,113.975
NOR,NOMINAL,2019,116.79999999676
NZL,NOMINAL,2015,100
NZL,NOMINAL,2016,113.556249360806
NZL,NOMINAL,2017,121.195487959851
NZL,NOMINAL,2018,125.550156086116
NZL,NOMINAL,2019,
OECD,NOMINAL,2015,100
OECD,NOMINAL,2016,105.320777010431
OECD,NOMINAL,2017,111.171068408798
OECD,NOMINAL,2018,116.748803841585
OECD,NOMINAL,2019,121.461323230465
POL,NOMINAL,2015,100
POL,NOMINAL,2016,101.8575
POL,NOMINAL,2017,105.7825
POL,NOMINAL,2018,112.742500000455
POL,NOMINAL,2019,
PRT,NOMINAL,2015,100
PRT,NOMINAL,2016,107.115
PRT,NOMINAL,2017,117.015000000001
PRT,NOMINAL,2018,129.032500003056
PRT,NOMINAL,2019,
ROU,NOMINAL,2015,100
ROU,NOMINAL,2016,105.95
ROU,NOMINAL,2017,112.355
ROU,NOMINAL,2018,118.617499999579
ROU,NOMINAL,2019,
RUS,NOMINAL,2015,100
RUS,NOMINAL,2016,94.6920013543364
RUS,NOMINAL,2017,91.2668977714082
RUS,NOMINAL,2018,93.5159130068566
RUS,NOMINAL,2019,
SAU,NOMINAL,2015,100
SAU,NOMINAL,2016,95.0910931222546
SAU,NOMINAL,2017,88.9676113394485
SAU,NOMINAL,2018,86.4625506111982
SAU,NOMINAL,2019,
SVK,NOMINAL,2015,100
SVK,NOMINAL,2016,106.702667566689
SVK,NOMINAL,2017,112.990324758119
SVK,NOMINAL,2018,121.32053301266
SVK,NOMINAL,2019,
SVN,NOMINAL,2015,100
SVN,NOMINAL,2016,103.2525
SVN,NOMINAL,2017,111.5625
SVN,NOMINAL,2018,122.4625
SVN,NOMINAL,2019,130.95249999589
SWE,NOMINAL,2015,100
SWE,NOMINAL,2016,108.2425
SWE,NOMINAL,2017,115.4275
SWE,NOMINAL,2018,114.349999998009
SWE,NOMINAL,2019,
TUR,NOMINAL,2015,100
TUR,NOMINAL,2016,113.5958542608
TUR,NOMINAL,2017,125.374818484328
TUR,NOMINAL,2018,134.874050558141
TUR,NOMINAL,2019,140.876369956058
USA,NOMINAL,2015,100
USA,NOMINAL,2016,105.806988739419
USA,NOMINAL,2017,112.571402113743
USA,NOMINAL,2018,119.89778218801
USA,NOMINAL,2019,126.161513362384
ZAF,NOMINAL,2015,100
ZAF,NOMINAL,2016,105.591097142081
ZAF,NOMINAL,2017,110.105730891742
ZAF,NOMINAL,2018,114.275589941429
ZAF,NOMINAL,2019,118.336270266125